nameID,primaryName
nm0035531,Álvaro de Armiñán
nm0035609,Andy Armstrong
nm0035738,Jack Armstrong
nm0036331,Pascal Arnold
nm0036349,Andrea Arnold
nm0036962,Eric Aronson
nm0037136,Guel Arraes
nm0037575,Thomas Arslan
nm0037867,Yann Arthus-Bertrand
nm0038013,Meelis Arulepp
nm0038560,Jeff Knite
nm0038778,James Ashcroft
nm0039531,Semir Aslanyürek
nm0039575,Michael Asmussen
nm0039780,Shalom Assayag
nm0039873,Sergio Assisi
nm0040029,Neville Astley
nm0040248,Kutlug Ataman
nm0040407,Dimitris Athanitis
nm0040630,Mark Atkins
nm0040646,Ron Atkins
nm0040846,Jacoba Atlas
nm0040934,Hubert Attal
nm0040939,Yvan Attal
nm0041155,Kristin Atwell
nm0041315,Robin Aubert
nm0041758,Jérôme-Cecil Auffret
nm0041928,Joy Augustine
nm0042369,Dusty Austen
nm0043211,Yossi Aviram
nm0043232,Nurith Aviv
nm0043259,Aki Avni
nm0043335,Barry Avrich
nm0043429,Awie
nm0043668,Kianoush Ayari
nm0043705,Kader Ayd
nm0043953,Nabil Ayouch
nm0044137,Amit Azaz
nm0045256,Zachary Snygg
nm0045584,Steve Bacic
nm0046030,Alberto Bader
nm0046068,Ramona Badescu
nm0046424,Veerle Baetens
nm0046469,Paloma Baeza
nm0046480,Micheal Bafaro
nm0047028,Jennifer Baichwal
nm0047049,Lionel Baier
nm0047798,Mariano Baino
nm0048040,Rados Bajic
nm0048129,Boris Bakal
nm0048918,Sean Baker
nm0049371,Jaume Balagueró
nm0050472,Steve Ball
nm0050948,Sylvie Ballyot
nm0051166,Ali Taner Baltaci
nm0051206,Nic Balthazar
nm0051927,Simon Bang
nm0052755,Sharon Bar-Ziv
nm0052858,José Barahona
nm0053613,Eric Barbier
nm0053678,Renato Barbieri
nm0054077,Paris Barclay
nm0054377,Los Angeles Barea
nm0054672,Francesco Barilli
nm0055340,Marius Barna
nm0055348,Nicola Barnaba
nm0055601,Gaylene Barnes
nm0056527,John Barr
nm0056725,Christophe Barratier
nm0056987,Alexandra Barreto
nm0057666,Hector Barron
nm0057842,Olivier Baroux
nm0059698,Giulio Base
nm0059750,George Basha
nm0060076,Kim Bass
nm0060634,Michal Bat-Adam
nm0061484,Giuseppe Battiston
nm0062189,Signe Baumane
nm0062341,Michael Baumgarten
nm0062463,Andy Bausch
nm0064268,Adrien Beau
nm0064741,Xavier Beauvois
nm0064961,Gorman Bechard
nm0065007,Demián Bichir
nm0065449,Jean Becker
nm0065496,Lars Becker
nm0065644,Ruth Beckermann
nm0066138,Wendy Bednarz
nm0066525,Julia Beerhold
nm0066910,Ridha Behi
nm0067619,Stephen Belber
nm0067903,Eva Beling
nm0068095,Charlene Bell
nm0068973,Eugene John Bellida
nm0069166,Marco Bellocchio
nm0069260,Nicola Bellucci
nm0069342,Véra Belmont
nm0069582,David Belton
nm0069642,Emma Bertrán
nm0070118,Pablo Ben Yakov
nm0070159,Jafar Panahi
nm0070282,Osvaldo Benavides
nm0070456,Darren Bender
nm0070589,Niclas Bendixen
nm0071003,Angus Benfield
nm0071261,John B. Benitz
nm0071611,Bill Bennett
nm0072159,James Benning
nm0072364,Faouzi Bensaïdi
nm0072600,Ned Benson
nm0073950,Sonia Bergamasco
nm0074163,Edward Berger
nm0074311,Pablo Berger
nm0075008,Rikard Bergqvist
nm0075811,Matt Berman
nm0076307,Ludovic Bernard
nm0076473,Sabine Bernardi
nm0076679,Dieter Berner
nm0077094,Marcos Bernstein
nm0077911,Fabienne Berthaud
nm0078452,Valeria Bertuccelli
nm0078704,Éric Besnard
nm0078811,Jean-Marie Besset
nm0079105,Carlos Rafael Betancourt
nm0079448,Maggie Betts
nm0079848,Robin Bextor
nm0079923,Joseph Beyer
nm0080067,Luciana Bezerra
nm0080220,Sanjay Leela Bhansali
nm0080235,Vishal Bhardwaj
nm0080278,Vijay K. Bhaskar
nm0080333,Vikram Bhatt
nm0080524,Mayim Bialik
nm0080729,John Bianco
nm0081077,Robin Bicknell
nm0081179,Thomas Bidegain
nm0081217,Antonio Bido
nm0081279,Rick Bieber
nm0081449,Dragan Bjelogrlic
nm0082450,Paul Feig
nm0082900,Rod Bingaman
nm0083037,Jon Binkowski
nm0083651,Duncan Birmingham
nm0083795,Eva Birthistle
nm0084241,Claudio Bisio
nm0084502,Fabrício Bittar
nm0085938,Nathan Blackwell
nm0086301,Macon Blair
nm0086703,Richard Blake
nm0086745,Tessa Blake
nm0086872,Lucy Blakstad
nm0087895,Andrea Blaugrund Nevins
nm0087933,Jacek Blawut
nm0089033,Régis Blondeau
nm0091076,Sergei Bodrov
nm0091579,Timothy Scott Bogart
nm0091668,Antonia Bogdanovich
nm0092149,José Ángel Bohollo
nm0092419,Simon Boisvert
nm0092555,K.C. Bokadia
nm0093051,Uwe Boll
nm0093081,Icíar Bollaín
nm0094137,Federico Bondi
nm0094254,Francesco Bonelli
nm0094274,Bertrand Bonello
nm0094306,Paul Bonesteel
nm0094480,Vittorio Bongiorno
nm0094524,Ian Bonhôte
nm0094726,Pascal Bonitzer
nm0095054,Guillaume Bonnier
nm0095549,Marjoleine Boonstra
nm0095862,Rahila Bootwala
nm0096319,Christopher Borrelli
nm0096332,Mauro Borrelli
nm0096375,Sebastián Borensztein
nm0096539,António Borges Correia
nm0096625,Holger Borggrefe
nm0097077,Josephine Bornebusch
nm0097079,Ole Bornedal
nm0097580,Cristiano Bortone
nm0098439,João Botelho
nm0098524,Detlef Bothe
nm0098709,Juan Diego Botto
nm0098908,Loren Bouchard
nm0098953,Rachid Bouchareb
nm0099398,Nicolas Boukhrief
nm0100468,Luuk Bouwman
nm0100509,Haim Bouzaglo
nm0100522,Laurent Bouzereau
nm0100785,Andy Bowles
nm0101218,Barry Bowles
nm0101453,Andrew Bowser
nm0101692,Alexandra Boyd
nm0101878,Paul Boyd
nm0102516,Serge Bozon
nm0102873,Harry Bradbeer
nm0103265,James Bradley
nm0103785,Zach Braff
nm0104150,Todd Braley
nm0104226,Robert Bramkamp
nm0105862,Ted Braun
nm0106068,Edgar Michael Bravo
nm0106924,Catherine Breillat
nm0107251,Artie Brennan
nm0107366,Neal Brennan
nm0107696,Gunilla Bresky
nm0108284,Joe Brewster
nm0108447,Manon Briand
nm0109171,Paul Bright
nm0109626,Bo Brinkman
nm0110292,Fausto Brizzi
nm0110300,Stéphane Brizé
nm0111369,Jacek Bromski
nm0111588,Konstantin Bronzit
nm0111656,Peter Brook
nm0112374,Nick Broomfield
nm0112459,Aline Brosh McKenna
nm0114182,Margaret Brown
nm0114226,Matt Brown
nm0114351,Nicolas Brown
nm0114430,Peter Vack
nm0114687,Spencer Brown
nm0116040,Natja Brunckhorst
nm0116254,Valeria Bruni Tedeschi
nm0116511,Massimiliano Bruno
nm0116623,Dominic Brunt
nm0117556,Hallvard Bræin
nm0117600,Thomas Brémond
nm0117879,Giovanni Bucchieri
nm0118333,Chris Buck
nm0118345,Detlev Buck
nm0118573,Betty A. Buckley
nm0118741,Andre Buckner
nm0119546,Igor Buharov
nm0119547,Ivan Buharov
nm0119604,Bùi Thac Chuyên
nm0119613,Timothy Linh Bui
nm0119793,Marek Bukowski
nm0120987,Ray Burdis
nm0121203,Janez Burger
nm0121210,Joerg Burger
nm0121235,Sander Burger
nm0122184,Daniel Burman
nm0122195,Mark Burman
nm0122653,Edward Burns
nm0122987,Bill Burr
nm0123379,Nanette Burstein
nm0124834,William Butler
nm0124991,Joshua Butler
nm0125524,Jason Buxton
nm0125540,Margherita Buy
nm0125728,Anton Sivers
nm0125887,Bob Byington
nm0127373,Louis C.K.
nm0127402,Antonio R. Cabal
nm0127804,Dominique Cabrera
nm0128301,Iolande Cadrin-Rossignol
nm0128382,Israel Adrián Caetano
nm0128464,Eliane Caffé
nm0128540,Kenya Cagle
nm0128866,Alex Cain
nm0129035,John Caird
nm0129160,Jonathan Cake
nm0129286,Steve Sayre
nm0129841,Chad Calek
nm0130242,Peter Callahan
nm0130691,Mimmo Calopresti
nm0131033,Jerry Calà
nm0131064,Art Camacho
nm0131827,Gero Camilo
nm0131966,Bill Camp
nm0131969,Brandon Camp
nm0132414,Doug Campbell
nm0132485,Glenn Campbell
nm0132709,Martin Campbell
nm0132884,Ted Campbell
nm0133028,Robin Campillo
nm0133075,Giacomo Campiotti
nm0133326,Sebastián Lelio
nm0133763,Takis Candilis
nm0133770,Grady Candler
nm0133899,Guillaume Canet
nm0133981,João Canijo
nm0134503,Saara Cantell
nm0135141,Frank A. Cappello
nm0135296,Jim Capobianco
nm0135576,Eugenio Cappuccio
nm0135824,Chiqui Carabante
nm0136673,Margarida Cardoso
nm0137134,Carlos Caridad-Montero
nm0137228,Christian Carion
nm0138609,Ted Nicolaou
nm0138759,Marcos Carnevale
nm0138809,John Carney
nm0139036,Ana Carolina
nm0139743,Jimmy Carr
nm0139905,Joan Carr-Wiggin
nm0141149,Marie Carré
nm0141931,Sarah Carter
nm0142286,D.J. Caruso
nm0142300,Frank A. Caruso
nm0142362,Marcus Carothers
nm0142461,Luiz Fernando Carvalho
nm0144018,Xan Cassavetes
nm0144509,Patricia Castañeda
nm0144511,Rigoberto Castañeda
nm0145580,Joaquim Castro
nm0145581,Joe Castro
nm0145600,Juanjo Castro
nm0146828,Carolyn Cavallero
nm0146960,Liliana Cavani
nm0146991,Fred Cavayé
nm0147270,Marc Cayce
nm0147804,Kanerva Cederström
nm0148173,Una Celma
nm0148187,Nicholas Celozzi
nm0148482,Massimiliano Cerchi
nm0149196,Nuri Bilge Ceylan
nm0149235,Mohammed Chaara
nm0150636,Wendy Champagne
nm0150897,Fruit Chan
nm0151135,Tony Chan
nm0151540,Jay Chandrasekhar
nm0151546,S.A. Chandrashekhar
nm0151827,Sylvia Chang
nm0152082,Damian Chapa
nm0152231,Carmen Chaplin
nm0152790,Laurent Charbonnier
nm0152953,Lyne Charlebois
nm0153265,Alexandre Charlot
nm0153499,Yohann Charrin
nm0154464,Antonio Chavarrías
nm0154509,Julio Chávez
nm0154751,Shu Lea Cheang
nm0155093,Peter Chelsom
nm0155201,Daming Chen
nm0155233,Guoxing Chen
nm0155683,Chad Chenouga
nm0155940,Denis Chernov
nm0156533,Nick Cheung
nm0156704,Ron Chevarie
nm0156828,Timothy A. Chey
nm0156871,Chi-Ngai Lee
nm0156977,Michael Chiang
nm0157053,Sophie Chiarello
nm0157145,Malik Chibane
nm0157185,Bruno Chiche
nm0157345,Benoît Chieux
nm0159039,Felix Chong
nm0159187,Hélène Choquette
nm0159745,Casper Christensen
nm0159925,Trine Piil Christensen
nm0160126,Rich Christiano
nm0160429,Angela Christlieb
nm0160695,James J. Christy
nm0161621,Jaime Chávarri
nm0161991,Anne Riitta Ciccone
nm0162470,Beppe Cino
nm0162483,Michele Cinque
nm0162485,Francesco Cinquemani
nm0163022,Jean-Paul Civeyrac
nm0163357,Garrett Clancy
nm0163467,Héctor Claramunt
nm0163817,Dane Clark
nm0164053,Jane Clark
nm0165105,Ross W. Clarkson
nm0165290,Richard Claus
nm0166393,Anne de Clercq
nm0166714,William Clift
nm0168002,Glen Coburn
nm0168705,Guga Coelho
nm0169232,Barri Cohen
nm0169245,Benoît Cohen
nm0169486,Jem Cohen
nm0169806,Taika Waititi
nm0169848,Jérôme Cohen-Olivar
nm0170043,Isabel Coixet
nm0171405,Caia Coley
nm0171620,Rolando Colla
nm0172523,Max Allan Collins
nm0172862,Jason Paul Collum
nm0172977,Priyantha Colombage
nm0172989,Laetitia Colombani
nm0173705,Phil Comeau
nm0173724,Cristina Comencini
nm0173726,Francesca Comencini
nm0174228,Carlos Conceição
nm0174483,Stephanie Laing
nm0174983,Gaelan Connell
nm0175280,Fintan Connolly
nm0175352,Robert Connolly
nm0175805,David Conroy
nm0176242,Lorenzo Conte
nm0176376,Nina Conti
nm0176474,Alfredo Contreras
nm0176941,Candice T. Cain
nm0177085,Jason Cook
nm0177234,Philip J. Cook
nm0177396,Christian Cooke
nm0177483,Phil Cooke
nm0177552,Stephen Cookson
nm0177836,Adam Cooper
nm0177896,Bradley Cooper
nm0177908,Buddy Cooper
nm0178376,Scott Cooper
nm0178415,Terry Cooper
nm0178900,Matthew Coppola
nm0179030,Fabrizio Corallo
nm0179038,Emiliano Corapi
nm0179542,Sebastián Cordero
nm0180917,Fabián Corres
nm0181109,Pappi Corsicato
nm0181117,Catherine Corsini
nm0181246,Paola Cortellesi
nm0181284,Fabrizio Maria Cortese
nm0181579,Rodrigo Cortés
nm0182196,Jorge Paixão da Costa
nm0182409,Gianni Costantino
nm0182459,Saverio Costanzo
nm0182499,Paolo Costella
nm0182891,Ivan Cotroneo
nm0183002,Jean-Pierre Cottet
nm0183419,Delphine Coulin
nm0183421,Muriel Coulin
nm0183686,Emmanuel Courcol
nm0183949,Rand Courtney
nm0184076,Blake Cousins
nm0184108,Mark Cousins
nm0184673,Nancy Bellany
nm0185888,Janet Craig
nm0186424,Sam Crane
nm0186610,Jay Craven
nm0186784,Guy Crawford
nm0187373,Alessio Cremonini
nm0187740,Emanuele Crialese
nm0188103,Pedro Cristiani
nm0188173,Domiziano Cristopharo
nm0188722,Brandon Cronenberg
nm0188899,Harold Crooks
nm0189804,Erik E. Crown
nm0190208,Greg Cruttwell
nm0190502,Ángeles Cruz
nm0190790,László Csáki
nm0190840,Antonio Cuadri
nm0191222,Raúl Cuevas
nm0191285,Yan Cui
nm0191299,Pascal Cuissot
nm0191832,Michael Cumming
nm0191931,Spider One
nm0191957,Sandy Cummings
nm0192090,Rusty Cundieff
nm0192394,Matt Cunningham
nm0192845,John Curran
nm0192933,Andrew Currie
nm0194270,René Richard Cyr
nm0195039,Enzo D'Alò
nm0196248,Hugo Vieira da Silva
nm0196857,Michael Dahan
nm0196860,Olivier Dahan
nm0197855,John Francis Daley
nm0198006,Marie-Julie Dallaire
nm0198257,Darren Dalton
nm0199047,Audrey Dana
nm0199470,Dang Nhat Minh
nm0200469,Géraldine Danon
nm0200500,Pepe Danquart
nm0200702,Dany Boon
nm0200854,Lisa D'Apolito
nm0201094,Jean-Pierre Dardenne
nm0201095,Luc Dardenne
nm0201504,Chad Darnell
nm0201903,Nandita Das
nm0202085,Jérôme Dassier
nm0202999,Mark David
nm0204042,Adolfo Davila
nm0204628,Garth Davis
nm0204720,J. Davis
nm0204920,Julia Davis
nm0205157,Michael Davis
nm0205169,Mick Davis
nm0205779,Renat Davletyarov
nm0206109,deco dawson
nm0206359,Charlie Day
nm0206691,Ludmila Dayer
nm0206913,Acácio de Almeida
nm0207435,Volfango De Biasi
nm0208643,John de Graaf
nm0208667,Marie-Ève de Grave
nm0208854,Rolf de Heer
nm0209010,Mijke de Jong
nm0209216,Ángel de la Cruz
nm0209330,Ulises de la Orden
nm0209948,Fabio De Luigi
nm0210101,Renato De Maria
nm0210193,Ivano De Matteo
nm0210320,Kirk DeMicco
nm0210948,Thierry de Peretti
nm0211110,Aram van de Rest
nm0211564,Brando De Sica
nm0212563,Adam Deacon
nm0212807,Jason Egan
nm0213434,Sergey Debizhev
nm0214193,Julie Simone
nm0214857,Jérémie Degruson
nm0215543,Claudio Del Falco
nm0215938,Salvador del Solar
nm0216816,Emilie Deleuze
nm0217691,Tom DeLonge
nm0218022,Benoît Delépine
nm0218547,Zeki Demirkubuz
nm0218838,Arnaud Demuynck
nm0219136,Claire Denis
nm0219438,Darrell Dennis
nm0220600,Scott Derrickson
nm0220652,Dominique Deruddere
nm0220774,Arnaud des Pallières
nm0221177,Channa Deshapriya
nm0221289,Denys Desjardins
nm0221611,Arnaud Desplechin
nm0221960,Gábor Dettre
nm0222314,Desmond Devenish
nm0222514,Floriane Devigne
nm0222615,Dennis Devine
nm0222829,Tony Devlin
nm0222894,Robinson Devor
nm0223338,Dulal Dey
nm0223606,Tigmanshu Dhulia
nm0223924,Gianni Di Gregorio
nm0224331,Andrea Di Stefano
nm0224351,Andrés Di Tella
nm0224938,Manthia Diawara
nm0225010,Lav Diaz
nm0225034,Philippe Diaz
nm0225035,Ramona S. Diaz
nm0225109,Nicholas DiBella
nm0226151,Saskia Diesing
nm0226398,Vincent Dieutre
nm0227625,Sheng Ding
nm0227671,Pece Dingo
nm0228147,Mark A.Z. Dippé
nm0228542,Christian Ditter
nm0229154,Doron Djerassi
nm0229234,Mladen Djordjevic
nm0229235,Mladomir 'Purisa' Djordjevic
nm0229492,Vicente Alves do Ó
nm0231596,Andrew Dominik
nm0232180,Thierry Donard
nm0232504,Derek Tung-Sing Yee
nm0232952,Brendan Donovan
nm0233002,Jim Donovan
nm0233123,Valérie Donzelli
nm0234223,Hans Dortmans
nm0234255,Christine Dory
nm0234520,Shimon Dotan
nm0235004,Cullen Douglas
nm0235632,Sergio Dow
nm0235770,John Dower
nm0235822,Chris Dowling
nm0236361,Helen Doyle
nm0236451,Mike Doyle
nm0237876,Karim Dridi
nm0238506,Dinara Drukarova
nm0238679,Svetlana Druzhinina
nm0238746,Maciej Drygas
nm0239001,Fabrice du Welz
nm0239042,Paul Duane
nm0239498,Franck Dubosc
nm0239552,Sandi Simcha Dubowski
nm0239742,Dave Duce
nm0240995,Christian Duguay
nm0241165,Alison Duke
nm0241192,Duke
nm0241398,Piotr Dumala
nm0241399,Andrew Durham
nm0241622,Bruno Dumont
nm0242903,Robin Dunne
nm0243355,Albert Dupontel
nm0244011,André van Duren
nm0244378,Xavier Durringer
nm0244459,Pau Durà
nm0244784,Christophe Duthuron
nm0244800,Maciej Dutkiewicz
nm0244864,Anjan Dutt
nm0244893,Kavery Kaul
nm0245677,Christian Dyekjær
nm0245903,Vanessa Dylyn
nm0246119,Nana Janelidze
nm0246159,Nana Dzhordzhadze
nm0246737,Rolando Díaz
nm0246781,Ana Díez
nm0246903,Doris Dörrie
nm0247594,Chris Easterly
nm0247826,Isaac H. Eaton
nm0248401,Arantxa Echevarría
nm0249316,John Edginton
nm0250070,James L. Edwards
nm0250315,Robert Edwards
nm0250806,Arthur Egeli
nm0251490,Brett Eichenberger
nm0251986,Jesse Eisenberg
nm0252230,Chiwetel Ejiofor
nm0252733,Rachid El Ouali
nm0253217,Ottó Ifj. Elek
nm0253320,Richard Elfman
nm0253590,Julien Elie
nm0254178,Adam Elliot
nm0255033,Phyllis Ellis
nm0255362,Gad Elmaleh
nm0255528,Danae Elon
nm0255546,Javier Elorrieta
nm0255710,Richard Elson
nm0255891,Cassian Elwes
nm0256384,Heinz Emigholz
nm0256542,Randall Emmett
nm0256594,Bernard Émond
nm0256820,Sylke Enders
nm0257011,Mia Engberg
nm0258732,Reha Erdem
nm0258852,Sigal Erez
nm0258977,Víctor Erice
nm0259763,Egidio Eronico
nm0259847,James Erskine
nm0259915,Gerhard Ertl
nm0261164,Giovanni Esposito
nm0261170,Jennifer Esposito
nm0261840,Luis Estrada
nm0262061,Ray Etheridge
nm0262167,Peter Ettedgui
nm0264967,Roberto Faenza
nm0265384,Avner Faingulernt
nm0265821,Whetu Fala
nm0266424,John Fallon
nm0267241,Fares Fares
nm0267287,Coralie Fargeat
nm0267740,Donald Farmer
nm0268380,Peter Farrelly
nm0268627,Nadia Fares
nm0268999,Philippe Faucon
nm0269170,Étienne Faure
nm0270090,Steven Feder
nm0270098,Avi Federgreen
nm0270565,J.D. Feigelson
nm0270770,John Feist
nm0270822,Daniela Fejerman
nm0271095,Rachel Feldman
nm0271815,Xiaogang Feng
nm0272402,Daniel Ferguson
nm0273885,Pierluigi Ferrandini
nm0274028,Alberto Ferrari
nm0274143,Davide Ferrario
nm0274278,António Ferreira
nm0274842,Chad Ferrin
nm0275244,Larry Fessenden
nm0275250,Javier Fesser
nm0275260,Michel Fessler
nm0275698,Andy Fickman
nm0276062,Todd Field
nm0276801,David-Pierre Fila
nm0277027,Paulo Filipe
nm0277230,Sophie Fillières
nm0277727,Sticky Fingaz
nm0277808,Heike Fink
nm0278476,Michael Fiore
nm0278503,Giuseppe Fiorello
nm0278705,Laurent Firode
nm0279065,Nepomuk Fischer
nm0279103,Robert Fischer
nm0279863,Bill Fishman
nm0280541,Jim Fitzpatrick
nm0280957,Jean-Claude Flamand-Barny
nm0281098,Shawn Flanagan
nm0281396,Ryan Fleck
nm0281599,Ann Marie Fleming
nm0282620,Jonathan Flora
nm0282780,Carlos Flores del Pino
nm0283021,Adonis Floridis
nm0283377,Per Fly
nm0283978,Vera Fogwill
nm0284078,Pierre Földes
nm0284774,Anne Fontaine
nm0285040,Paulo Fontenelle
nm0285135,Dolores Fonzi
nm0285471,André Forcier
nm0285683,Howard J. Ford
nm0288758,Lawrence Fowler
nm0289576,Claudio Fragasso
nm0289800,David France
nm0290725,Belisario Franca
nm0291771,Juan Frausto
nm0291808,Angelos Frantzis
nm0292365,Roger A. Fratter
nm0293889,Stéphane Freiss
nm0293912,Tina Freitag
nm0294274,Nestor Frenkel
nm0294505,Bart Freundlich
nm0299134,Jorge Furtado
nm0299689,András Fésös
nm0299972,Ruggero Gabbai
nm0299998,Edoardo Gabbriellini
nm0300076,Savi Gabizon
nm0300459,Georges Gachot
nm0300701,Hernán Gaffet
nm0300861,Jorge Gaggero
nm0300880,Daniele Gaglianone
nm0300898,Giovanna Gagliardo
nm0300944,Alain Gagnol
nm0301138,Mario Gaoa
nm0302087,Eduard Galic
nm0302149,César Galindo
nm0302573,Pamela Gallant
nm0302780,Florian Gallenberger
nm0303032,George Gallo
nm0303309,Mariano Galperín
nm0303902,Damon Gameau
